age	gender	daily.views
55	Female	163.4
19	Male	226
33	Female	54.1
38	Male	51.2
65	Female	39.9
20	Female	27.1
54	Female	235.5
49	Female	231.3
42	Male	21.7
25	Female	6.3
19	Female	423.1
66	Male	247.2
63	Female	6.4
26	Male	18.8
38	Female	91.4
54	Female	48.8
44	Male	13.7
56	Female	59.3
33	Male	44.5
38	Male	136.8
60	Female	30.1
55	Male	3.4
18	Male	45
57	Female	89
57	Male	62.8
66	Female	121.9
44	Female	677.7
38	Female	193.2
66	Female	83.4
60	Female	24.4
19	Female	257.2
47	Male	149.8
65	Female	81.9
57	Male	158.9
27	Female	206.2
59	Male	18.8
20	Male	116.9
25	Female	103.7
46	Male	25.2
53	Female	33.9
13	Female	20.8
11	Male	130
11	Male	76.6
35	Male	95.5
35	Male	235.9
59	Female	135.2
41	Female	41.8
47	Male	9.2
16	Female	186.5
14	Female	59.1
31	Female	137.9
53	Female	176.8
69	Female	52.7
42	Female	353
41	Female	136.6
28	Female	168.4
23	Female	212.3
24	Female	90.6
67	Female	96.1
36	Male	6
59	Female	144.1
35	Female	251.8
30	Male	238
62	Male	138
73	Male	10.2
34	Male	83.9
62	Female	25.1
47	Male	165.9
73	Male	21.2
71	Female	8.2
67	Male	98.1
38	Female	18.2
45	Female	136.8
38	Female	86.3
49	Female	151.1
14	Male	169.8
39	Male	77.9
30	Male	145
44	Male	212.8
19	Male	36.1
23	Male	268.2
39	Female	44.2
65	Male	40.8
53	Male	73.2
19	Female	56.2
30	Female	162.8
30	Male	65.9
40	Female	42.9
59	Male	91.4
31	Male	171.1
56	Female	32
50	Female	13.1
59	Female	94.3
16	Male	235.3
50	Male	123.4
69	Female	166
31	Male	273
25	Female	48.6
32	Female	169.2
68	Female	444.5
58	Male	121
18	Male	142.7
26	Male	12.7
41	Female	73.6
45	Male	113.7
25	Female	237
21	Female	175
66	Female	86.6
45	Male	46.4
22	Female	57.1
21	Male	11.8
22	Female	34.5
23	Male	70.6
55	Female	69.8
43	Female	269.2
33	Male	29.4
27	Female	59.7
40	Female	86.1
44	Male	19.5
44	Female	163.7
23	Male	152.3
55	Male	30.1
54	Female	13.8
47	Female	150.7
24	Female	41.2
39	Female	165.3
49	Female	353.1
46	Female	79
46	Female	103.4
37	Female	148.3
19	Female	89.5
33	Male	250.1
23	Female	194.5
58	Female	150.9
32	Female	250
35	Female	261.1
32	Female	25.7
27	Female	98.8
41	Female	29.3
45	Male	9.7
34	Female	59.8
33	Male	6.4
7	Female	8.4
14	Female	36.7
51	Female	175.1
54	Male	28.2
47	Female	1236.3
45	Male	57.9
27	Male	747.4
25	Female	159.9
60	Male	25.7
62	Female	5.5
31	Male	156.1
71	Female	32.7
37	Female	189.1
38	Male	58.5
16	Female	27.5
27	Male	81.6
48	Female	119.8
58	Female	52.6
54	Female	145.4
22	Male	43.4
19	Male	183.5
39	Male	67.8
37	Female	62.9
21	Male	78.1
22	Female	218.4
27	Male	103.2
19	Male	121.2
55	Female	150.5
67	Male	47.6
65	Male	71.6
33	Male	74.8
35	Male	213
24	Female	65.7
23	Male	142.2
31	Female	39
30	Male	6.2
25	Male	120.6
61	Male	270.4
26	Male	220.4
56	Female	214.3
29	Female	8.9
29	Male	91.2
54	Male	157
74	Female	133.4
56	Female	597.6
42	Female	33.4
62	Male	255
59	Female	39.8
28	Female	68.6
31	Female	64.6
26	Female	44.3
62	Male	1.5
18	Male	54.7
48	Male	409.4
51	Female	6.2
50	Female	65.2
34	Male	19.3
55	Female	86.7
46	Female	54.4
56	Male	32.9
17	Male	239.8
14	Female	27.6
22	Female	33.6
50	Female	50.7
49	Male	44.2
29	Female	1631.3
48	Female	38.1
60	Male	43.2
30	Male	30.7
22	Male	197.4
52	Female	22.9
40	Female	26.7
15	Male	19.4
26	Male	57.8
25	Male	49
30	Male	41
50	Male	644.5
41	Male	111.4
45	Female	23.7
44	Female	96.7
28	Male	413.5
23	Male	174.5
26	Female	137
28	Male	14.8
27	Male	217.9
32	Female	289.1
33	Male	40.8
53	Female	166.3
42	Male	90.1
41	Female	155.1
11	Male	54.7
62	Female	50.9
23	Female	280.3
62	Female	146.4
23	Female	154.8
46	Male	561.3
27	Male	362.8
19	Female	95.4
19	Male	148.4
50	Female	8.1
18	Female	577.8
54	Male	94.1
25	Male	130.7
18	Male	18.1
20	Female	3.6
51	Female	29.1
35	Female	202.8
19	Female	122.5
53	Male	1373.6
33	Female	179
22	Male	34.8
49	Male	143.5
49	Female	15.1
46	Female	34.8
51	Female	62
23	Male	26
26	Male	276.1
34	Female	34
35	Male	20.1
33	Female	85.9
22	Male	88.4
68	Female	501.4
26	Male	500.9
71	Female	18.6
27	Female	29
26	Male	61.2
32	Male	9.9
36	Female	372.3
18	Male	459.1
19	Male	242.1
39	Female	22.6
51	Male	25.3
60	Female	44.1
65	Male	5.9
32	Female	109.6
30	Female	33.4
35	Male	23.3
10	Female	51.2
8	Male	10.1
47	Female	137
18	Female	4.6
10	Male	9.1
65	Male	124.8
61	Female	36.9
41	Female	100.8
11	Female	162.4
25	Female	153
22	Male	325.2
64	Female	448.7
30	Male	241
37	Female	154.1
63	Male	210.3
61	Female	7.7
47	Female	251.3
17	Female	145
22	Female	96.7
22	Male	77.3
34	Male	284.4
57	Male	98.5
65	Male	124.7
51	Female	98.3
79	Male	15
77	Female	12.6
33	Male	221.3
19	Female	72.3
21	Male	26.7
19	Male	243.4
56	Male	183.9
46	Female	164.7
23	Female	265
47	Female	82.3
20	Female	50.4
42	Female	118.6
23	Male	28.1
50	Female	83.4
33	Male	21
30	Female	92.9
52	Female	58.5
30	Female	131.3
24	Male	152.3
55	Male	25.8
60	Female	333.1
59	Male	197.7
41	Male	7.5
48	Male	321.6
39	Female	444
60	Female	62.3
32	Male	296.4
43	Female	192.8
50	Male	15.3
52	Female	43.4
42	Male	2.2
50	Male	82.7
63	Female	39.9
60	Male	5.7
63	Female	51.7
39	Female	138.6
45	Female	113.4
50	Female	32.6
68	Male	28
50	Male	468.5
68	Male	160.4
80	Female	83.2
31	Female	49
32	Female	96.5
50	Female	6.5
19	Male	18.5
18	Male	0.9
53	Male	97.5
39	Female	243.3
48	Female	186.7
25	Female	6.1
55	Female	344.3
57	Female	69.2
51	Female	54.3
38	Female	334.7
56	Female	146.4
57	Male	25.4
42	Female	27.1
14	Male	15.3
12	Female	87.3
60	Female	118
71	Male	58.3
70	Male	40
18	Male	38
52	Female	738.5
69	Female	140.9
27	Male	260.1
30	Female	104.1
15	Female	0.8
40	Male	31.6
73	Male	151.9
50	Female	541.3
49	Male	755.8
55	Male	160.6
70	Male	312.2
67	Male	92.2
76	Female	8.7
66	Male	8.7
40	Female	62.4
51	Female	157.5
22	Male	0.1
59	Female	69.8
42	Male	33
38	Female	56.8
48	Male	8.1
18	Male	18.6
17	Female	45
12	Female	92.7
69	Male	218.7
69	Female	4.5
82	Male	66
62	Female	197.5
77	Male	60.8
74	Female	9.6
48	Female	1343.9
34	Female	95.9
68	Female	164.1
53	Female	75.7
42	Male	56.5
53	Female	48.4
32	Female	36.8
49	Female	121.5
50	Male	0.2
25	Male	1.4
61	Female	299.5
57	Female	220.8
